CaseID,StructureID,StructureValue
19,SNSSKEP_order,order 1
19,QBELIEF3_order,order 2
19,QBELIEF4_order,order 2
19,TWKNOW_order,order 1
19,TWAUTO_order,order 1
19,JOKE1_order,order 2
19,CHOICE1_order,order 1
19,WOMENOPPS_order,order 1
19,FAIRTRT_order,order 1
19,TALKREL_order,order 1
20,SOCTRUST2_order,order 2
20,CONGPOST_order,order 2
20,GSSTRUST3_order,order 2
20,POLCRCT_order,order 1
20,ECONFAIR2_order,order 2
20,IMMCULT2_order,order 1
20,GSSTRUST2_order,order 2
20,SNSSKEP_order,order 2
20,QBELIEF3_order,order 1
20,QBELIEF4_order,order 1
20,TWKNOW_order,order 2
20,TWAUTO_order,order 2
20,JOKE1_order,order 1
20,CHOICE1_order,order 2
20,WOMENOPPS_order,order 2
20,FAIRTRT_order,order 1
20,TALKREL_order,order 2
21,SOCTRUST2_order,order 1
21,CONGPOST_order,order 2
21,GSSTRUST3_order,order 1
21,POLCRCT_order,order 2
21,ECONFAIR2_order,order 2
21,IMMCULT2_order,order 2
21,GSSTRUST2_order,order 1
21,SNSSKEP_order,order 2
21,QBELIEF3_order,order 1
21,QBELIEF4_order,order 1
21,TWKNOW_order,order 1
21,TWAUTO_order,order 1
21,JOKE1_order,order 2
21,CHOICE1_order,order 1
21,WOMENOPPS_order,order 1
21,FAIRTRT_order,order 1
21,TALKREL_order,order 2
23,SOCTRUST2_order,order 1
23,CONGPOST_order,order 2
23,GSSTRUST3_order,order 2
23,POLCRCT_order,order 1
23,ECONFAIR2_order,order 1
23,IMMCULT2_order,order 2
23,GSSTRUST2_order,order 2
23,SNSSKEP_order,order 1
23,QBELIEF3_order,order 2
23,QBELIEF4_order,order 2
23,TWKNOW_order,order 1
23,TWAUTO_order,order 2
23,JOKE1_order,order 2
23,CHOICE1_order,order 1
23,WOMENOPPS_order,order 2
23,FAIRTRT_order,order 2
23,TALKREL_order,order 1
24,SOCTRUST2_order,order 1
24,CONGPOST_order,order 2
24,GSSTRUST3_order,order 1
24,POLCRCT_order,order 2
24,ECONFAIR2_order,order 2
24,IMMCULT2_order,order 2
24,GSSTRUST2_order,order 2
24,SNSSKEP_order,order 1
24,QBELIEF3_order,order 2
24,QBELIEF4_order,order 2
24,TWKNOW_order,order 2
24,TWAUTO_order,order 1
